Film,alex,xav,Greg
Let the Right One In (Låt den rätte komma in) (2008),,,
Lolita (1962),,,
Good Copy Bad Copy (2007),,,
Blazing Saddles (1974),,,
Hare-um Scare-um (1939),,,
Stay (2005),,,
Bring It On (2000),,,
Strange Days (1995),,,
Sweet Liberty (1986),,,
Army of Shadows (L'armée des ombres) (1969),,,
"Midnight Meat Train, The (2008)",,,
And Your Mother Too (Y tu mamá también) (2001),,,
Just Cause (1995),,,
Let's Be Cops (2014),,,
Red (2010),3.4,3.5,
Doomsday (2008),3.5,,
When Worlds Collide (1951),,,
Johnny Dangerously (1984),,,
Maggie's Plan (2015),,,
"Hustler, The (1961)",,,
Ali G Indahouse (2002),2.8,4,
Victory (a.k.a. Escape to Victory) (1981),,,
"Astronaut's Wife, The (1999)",,,
Venom (1982),,,
Smilla's Sense of Snow (1997),,,
Kick-Ass (2010),3,3,3
Fahrenheit 9/11 (2004),,,
This Film Is Not Yet Rated (2006),,,
52 Pick-Up (1986),,,
Tormented (1960),,,
"Song of Bernadette, The (1943)",,,
Grabbers (2012),,,
Monte Carlo (2011),,,
Quadrophenia (1979),,,
Airborne (1993),,,
Fantastic Beasts and Where to Find Them (2016),3.5,3,3
Battlefield Earth (2000),,,
Theremin: An Electronic Odyssey (1993),,,
Pirates of the Caribbean: At World's End (2007),3,3,2
Shake Hands with the Devil (2007),,,
Golden Door (Nuovomondo) (2006),,,
"Boot, Das (Boat, The) (1981)",,,
"Good Day to Die Hard, A (2013)",2.7,3,3
"South Park: Bigger, Longer and Uncut (1999)",,5,
Morvern Callar (2002),,,
Cocaine Cowboys (2006),,,
Open Water 2: Adrift (2006),,,
"Portrait of a Lady, The (1996)",,,
Psycho Beach Party (2000),,,
Love and Other Catastrophes (1996),,,
BURN-E (2008),2,,5
Red Flag (2012),,,
Volcano High (Whasango) (2001),,,
"Brothers Solomon, The (2007)",,,
Ride Along (2014),,3.5,2
Extreme Ops (2002),,,
You'll Never Get Rich (1941),,,
Abbott and Costello Meet Frankenstein (1948),,,
Quills (2000),,,
Spy Kids 3-D: Game Over (2003),1.5,,2
Branded to Kill (Koroshi no rakuin) (1967),,,
What a Girl Wants (2003),,,
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),,,
"Doctor Who: The Doctor, the Widow and the Wardrobe (2011)",4,,
"Forbidden Kingdom, The (2008)",,,
Babylon 5: The Lost Tales - Voices in the Dark (2007),,,
Three Days of the Condor (3 Days of the Condor) (1975),,,
High School Musical (2006),1,,2
Escape From Tomorrow (2013),,,
It Came from Outer Space (1953),,,
Them (Ils) (2006),,,
Ever After: A Cinderella Story (1998),,,
"40-Year-Old Virgin, The (2005)",1.2,,
Confessions of a Shopaholic (2009),,,
Lassie (1994),2,,
Seconds (1966),,,
My Stepmother Is an Alien (1988),,,
Cloudy with a Chance of Meatballs (2009),3,,
White Noise (2005),,,
Kizumonogatari Part 1: Tekketsu (2016),,,
Mr. Peabody & Sherman (2014),,,
My Family (1995),,,
Gunner Palace (2004),,,
Space Truckers (1996),,,
"Stepfather, The (1987)",,,
French Connection II (1975),,,
Fireproof (2008),,,
Deconstructing Harry (1997),,,
Jim Jefferies: Freedumb (2016),,,
"39 Steps, The (1935)",,,
Highlander: Endgame (Highlander IV) (2000),1,4,
Orca: The Killer Whale (1977),,,
Tales from the Crypt Presents: Demon Knight (1995),,,
800 Bullets (800 Balas) (2002),,,
"Flamingo Kid, The (1984)",,,
"Secret Policeman's Other Ball, The (1982)",,,
"Flamingo Kid, The (1984)",,,
Cherry 2000 (1987),,,
"American Haunting, An (2005)",,,
"Jetée, La (1962)",,,
